x,y,z,p
19.19,8.64,3.95,1.0
95.86,20.12,-32.89,1.0
86.83,17.42,-32.14,1.0
43.29,15.64,-0.03,1.0
129.01,39.54,-17.88,1.0
42.99,15.54,-0.37,1.0
64.38,12.68,-25.82,1.0
75.41,16.05,-28.46,1.0
55.95,9.61,-26.88,1.0
64.34,12.99,-26.36,1.0
41.54,12.65,-6.63,1.0
41.82,12.85,-6.4,1.0
38.82,15.34,2.39,1.0
64.41,13.28,-26.05,1.0
45.14,17.23,1.03,1.0
45.13,17.3,1.37,1.0
64.3,13.29,-26.13,1.0
57.8,19.14,-5.8,1.0
89.35,21.12,-30.85,1.0
48.1,16.23,-4.6,1.0
48.22,16.26,-4.72,1.0
47.83,16.24,-4.63,1.0
69.48,16.24,-26.31,1.0
38.93,13.96,-2.13,1.0
47.73,16.47,-4.67,1.0
97.2,42.58,14.74,1.0
43.59,18.53,4.85,1.0
52.79,9.19,-31.54,1.0
38.74,15.95,2.69,1.0
52.29,12.61,-22.36,1.0
72.44,17.75,-30.28,1.0
121.96,38.35,-26.89,1.0
96.69,43.24,15.89,1.0
38.53,14.11,-2.82,1.0
38.87,16.07,2.55,1.0
38.57,14.29,-2.49,1.0
38.67,14.25,-2.82,1.0
38.44,14.08,-3.14,1.0
38.81,14.34,-3.05,1.0
53.88,14.08,-21.73,1.0
71.86,29.2,2.68,1.0
38.52,14.24,-2.92,1.0
38.97,16.78,4.29,1.0
9.93,3.86,-0.22,1.0
10.39,4.12,0.01,1.0
40.29,13.76,-6.85,1.0
38.8,14.37,-3.13,1.0
41.24,12.79,-11.03,1.0
41.31,12.85,-10.99,1.0
142.19,48.23,-25.97,1.0
38.8,14.42,-3.16,1.0
71.94,19.31,-29.77,4.0
28.47,8.53,-8.96,1.0
38.96,16.89,4.29,1.0
71.89,19.34,-30.65,4.0
39.24,17.03,4.23,1.0
48.42,17.61,-5.87,1.0
54.62,14.98,-22.81,1.0
185.56,59.31,-49.94,1.0
122.27,40.41,-28.51,1.0
71.28,19.81,-29.1,4.0
71.25,19.52,-30.4,4.0
71.91,20.0,-29.7,4.0
38.72,16.94,4.28,1.0
53.33,10.59,-37.14,1.0
53.01,14.22,-24.57,1.0
43.62,9.31,-28.45,1.0
97.04,27.37,-40.78,1.0
48.34,17.91,-6.02,1.0
48.3,17.98,-6.15,1.0
56.04,14.95,-28.78,1.0
49.09,23.29,11.31,1.0
52.53,15.72,-21.21,1.0
120.57,41.85,-28.36,1.0
83.71,20.0,-53.09,1.0
51.31,14.55,-24.23,1.0
38.55,14.95,-3.55,1.0
132.04,60.5,22.37,1.0
46.23,19.72,2.31,1.0
49.12,21.82,5.46,1.0
56.38,15.82,-28.75,1.0
38.5,14.99,-3.77,1.0
63.75,15.65,-41.44,1.0
63.72,15.63,-41.42,1.0
43.71,19.17,3.79,1.0
48.51,15.72,-17.43,1.0
41.89,15.18,-8.96,1.0
120.15,42.82,-28.8,1.0
96.01,31.1,-36.27,1.0
119.78,42.99,-28.65,1.0
89.54,34.5,-12.29,1.0
38.78,14.65,-6.58,1.0
89.52,34.63,-12.26,1.0
12.19,2.84,-9.33,1.0
43.02,16.49,-6.73,1.0
65.1,23.56,-16.04,1.0
50.5,15.83,-22.86,1.0
75.96,24.61,-31.15,1.0
72.95,23.47,-31.38,1.0
27.65,9.77,-8.37,1.0
38.26,17.28,4.47,1.0
47.55,20.5,1.27,1.0
50.71,23.53,8.44,1.0
51.29,20.31,-6.68,1.0
49.66,23.3,9.36,1.0
129.61,61.14,25.91,1.0
39.25,15.3,-6.75,1.0
51.37,14.23,-35.87,1.0
21.94,5.48,-18.18,1.0
39.27,15.43,-6.74,1.0
89.7,38.89,1.44,1.0
30.13,8.93,-19.07,1.0
160.0,65.4,-17.99,1.0
105.75,46.78,5.3,1.0
38.62,17.58,4.33,1.0
70.58,24.84,-27.4,1.0
38.18,17.4,4.23,1.0
11.55,4.88,-0.56,1.0
44.9,12.13,-35.81,1.0
101.8,35.71,-43.11,1.0
100.6,34.68,-45.71,1.0
39.33,15.71,-7.16,1.0
77.07,27.01,-33.21,1.0
57.44,18.41,-33.53,1.0
174.67,59.28,-86.05,1.0
101.48,33.99,-52.36,1.0
38.84,15.62,-6.88,1.0
38.24,17.71,5.12,1.0
51.67,17.17,-27.84,1.0
51.68,15.43,-36.9,1.0
37.08,15.65,-2.99,1.0
38.43,17.65,4.34,1.0
39.12,15.83,-6.84,1.0
101.01,35.79,-44.67,1.0
37.88,17.46,4.63,1.0
18.23,8.91,4.85,1.0
38.33,15.75,-5.56,1.0
101.85,36.23,-44.97,1.0
38.45,15.87,-5.39,1.0
101.49,36.22,-45.32,1.0
37.53,16.11,-2.06,1.0
101.84,36.66,-43.94,1.0
38.05,17.55,4.63,1.0
101.64,36.32,-45.38,1.0
133.88,48.53,-56.87,1.0
37.51,16.12,-2.13,1.0
76.83,28.0,-32.12,1.0
50.86,18.03,-23.96,1.0
38.82,15.83,-7.02,1.0
38.45,15.99,-5.21,1.0
64.08,25.39,-15.68,1.0
73.14,25.25,-38.72,1.0
47.04,21.03,1.65,1.0
72.86,25.18,-38.48,1.0
70.84,26.48,-26.44,1.0
52.41,22.26,-4.82,1.0
38.53,16.05,-5.48,1.0
38.2,17.8,5.15,1.0
92.45,32.7,-47.09,1.0
44.63,18.66,-6.33,1.0
38.45,16.11,-5.41,1.0
100.11,36.78,-45.12,1.0
100.29,36.91,-45.19,1.0
7.91,3.62,0.64,1.0
51.65,19.27,-22.17,1.0
57.19,17.13,-49.83,1.0
38.43,17.84,4.37,1.0
60.02,24.73,-12.26,1.0
64.6,17.81,-66.4,1.0
22.18,10.07,1.14,1.0
99.85,37.21,-44.99,1.0
97.41,41.01,-15.37,1.0
65.2,26.52,-16.22,1.0
38.47,16.31,-5.47,1.0
43.48,12.12,-45.97,1.0
107.19,39.95,-50.33,1.0
43.35,12.21,-46.11,1.0
115.83,48.15,-24.24,1.0
93.84,33.58,-54.34,1.0
49.17,18.63,-22.08,1.0
96.97,36.55,-45.18,1.0
28.27,11.43,-8.09,1.0
73.75,26.94,-40.22,1.0
42.95,12.1,-46.81,1.0
60.76,23.12,-27.7,1.0
38.53,16.51,-5.51,1.0
51.38,19.79,-22.26,1.0
107.21,39.52,-58.88,1.0
38.21,18.22,6.69,1.0
39.72,16.88,-7.21,1.0
120.43,48.64,-39.21,1.0
64.68,25.15,-28.47,1.0
13.37,6.21,1.12,1.0
97.22,37.83,-44.24,1.0
79.03,31.32,-32.13,1.0
39.57,16.95,-7.22,1.0
38.44,18.28,6.05,1.0
50.76,19.58,-24.73,1.0
52.56,18.71,-37.02,1.0
64.77,19.97,-68.14,1.0
60.05,25.93,-10.09,1.0
52.31,20.59,-23.5,1.0
51.39,16.5,-50.51,1.0
39.59,17.06,-7.1,1.0
46.76,21.74,3.31,1.0
87.57,34.03,-44.38,1.0
46.92,21.77,2.89,1.0
77.4,31.03,-32.96,1.0
24.36,10.2,-7.07,1.0
50.53,19.93,-24.63,1.0
57.06,20.1,-47.9,1.0
49.46,22.67,0.11,1.0
38.21,18.35,6.76,1.0
56.99,20.16,-47.97,1.0
77.39,31.53,-32.89,1.0
49.68,22.89,0.28,1.0
49.47,22.87,0.23,1.0
53.74,21.33,-30.8,1.0
93.81,38.65,-41.45,1.0
94.51,39.16,-40.47,1.0
66.25,28.54,-18.69,1.0
49.89,24.24,10.44,1.0
66.62,28.66,-19.91,1.0
56.3,23.09,-27.08,1.0
49.63,23.02,0.21,1.0
81.49,27.49,-95.18,1.0
118.45,50.29,-43.1,1.0
53.56,19.97,-45.38,1.0
39.71,14.52,-36.59,1.0
93.37,39.02,-41.12,1.0
88.9,36.3,-48.05,1.0
53.47,20.01,-45.93,1.0
111.86,49.63,-23.22,1.0
51.8,20.19,-37.27,1.0
33.28,15.29,-1.69,1.0
88.97,36.44,-48.09,1.0
34.89,15.5,-7.08,1.0
47.63,22.32,1.5,1.0
71.03,30.12,-29.02,1.0
93.04,39.08,-42.3,1.0
32.35,10.6,-44.98,1.0
52.05,20.61,-36.92,1.0
41.56,16.46,-29.46,1.0
66.51,29.11,-19.87,1.0
41.23,16.16,-31.97,1.0
93.6,39.73,-41.11,1.0
77.52,28.01,-90.11,1.0
50.35,21.26,-25.83,1.0
77.54,28.18,-90.83,1.0
54.81,22.16,-40.94,1.0
38.19,18.52,6.5,1.0
49.27,23.17,0.1,1.0
54.44,21.96,-43.51,1.0
49.35,23.25,0.04,1.0
48.33,22.31,-5.94,1.0
113.39,52.42,-13.99,1.0
160.01,74.56,-13.61,1.0
97.33,43.4,-34.99,1.0
64.08,24.61,-75.16,1.0
92.3,40.81,-38.43,1.0
81.31,38.87,4.0,1.0
36.84,15.02,-34.08,1.0
31.14,11.59,-44.66,1.0
58.36,25.0,-37.87,1.0
35.87,17.05,0.05,1.0
58.55,27.12,-9.97,1.0
18.89,8.62,-5.24,1.0
91.92,41.15,-38.68,1.0
38.24,18.66,6.45,1.0
49.25,21.83,-24.11,1.0
91.96,41.26,-38.68,1.0
36.82,15.29,-34.15,1.0
60.6,24.07,-74.43,1.0
49.12,21.88,-24.01,1.0
36.55,15.25,-34.74,1.0
92.46,41.74,-37.89,1.0
36.41,15.21,-34.72,1.0
49.64,21.42,-36.51,1.0
49.34,22.07,-24.02,1.0
110.56,51.4,-23.77,1.0
38.54,16.38,-34.85,1.0
43.09,17.54,-51.89,1.0
52.55,23.39,-30.78,1.0
91.76,41.76,-38.86,1.0
91.71,41.73,-39.47,1.0
101.77,44.62,-77.12,1.0
30.98,12.44,-44.58,1.0
58.32,27.47,-9.73,1.0
32.99,13.93,-36.76,1.0
43.89,20.33,-14.45,1.0
32.3,15.23,-5.69,1.0
51.64,21.57,-62.95,1.0
31.13,14.74,-4.94,1.0
60.0,25.25,-72.99,1.0
48.98,23.61,0.16,1.0
145.59,67.96,-48.09,1.0
51.08,23.23,-30.8,1.0
57.54,25.82,-42.27,1.0
39.38,17.44,-35.82,1.0
76.18,32.69,-93.36,1.0
33.76,14.71,-36.84,1.0
91.76,42.69,-38.46,1.0
33.24,16.0,-1.89,1.0
50.29,23.06,-29.67,1.0
51.05,23.39,-30.87,1.0
97.46,45.28,-44.81,1.0
33.48,16.13,-2.04,1.0
33.77,14.82,-36.74,1.0
51.91,23.77,-33.58,1.0
51.92,23.82,-33.56,1.0
35.74,17.37,0.17,1.0
89.64,41.55,-52.22,1.0
42.86,19.63,-32.08,1.0
49.09,22.63,-33.67,1.0
48.91,23.77,-0.04,1.0
36.0,16.28,-33.97,1.0
59.35,26.22,-72.78,1.0
35.85,16.21,-33.79,1.0
33.83,15.17,-36.93,1.0
49.48,23.12,-27.37,1.0
60.19,26.79,-71.93,1.0
35.88,17.47,0.14,1.0
105.77,51.86,10.45,1.0
96.72,45.62,-45.66,1.0
52.41,23.95,-49.55,1.0
43.39,19.46,-54.19,1.0
56.48,26.79,-25.81,1.0
97.49,46.98,-18.1,1.0
51.94,24.33,-34.14,1.0
113.96,54.08,-55.9,1.0
30.81,14.91,-4.82,1.0
51.8,24.52,-32.88,1.0
32.2,14.94,-35.19,1.0
60.15,27.64,-75.04,1.0
31.85,14.73,-36.22,1.0
30.92,14.24,-38.57,1.0
30.74,14.16,-38.44,1.0
16.49,7.99,-4.38,1.0
28.42,12.95,-43.05,1.0
28.5,13.01,-43.34,1.0
44.93,21.4,-30.17,1.0
89.81,43.25,-37.92,1.0
51.6,24.71,-30.83,1.0
35.56,16.82,-33.96,1.0
35.61,16.85,-34.06,1.0
35.77,16.94,-34.11,1.0
120.04,58.03,-51.88,1.0
47.77,23.02,-25.36,1.0
70.15,33.51,-53.64,1.0
18.02,8.2,-36.24,1.0
35.69,16.94,-34.05,1.0
30.06,14.17,-36.28,1.0
49.12,23.75,-24.75,1.0
52.71,25.19,-44.62,1.0
22.54,10.44,-41.17,1.0
71.31,33.88,-79.53,1.0
31.84,15.12,-37.53,1.0
47.46,23.0,-25.49,1.0
76.39,36.41,-90.19,1.0
13.6,6.36,-24.02,1.0
105.18,51.05,-60.13,1.0
49.13,24.24,0.13,1.0
22.51,10.56,-41.45,1.0
22.43,10.55,-41.31,1.0
105.27,51.2,-60.42,1.0
88.79,43.39,-38.53,1.0
50.02,24.37,-30.22,1.0
37.63,18.19,-38.98,1.0
54.67,26.75,-25.52,1.0
68.78,33.71,-25.92,1.0
51.84,25.31,-29.62,1.0
48.63,24.04,0.18,1.0
32.01,15.46,-37.66,1.0
57.3,27.85,-52.26,1.0
26.27,12.66,-36.21,1.0
49.29,24.16,-24.73,1.0
12.81,6.3,-4.4,1.0
28.2,13.66,-33.84,1.0
27.79,13.41,-39.47,1.0
52.09,25.53,-29.71,1.0
63.45,31.25,-18.07,1.0
118.72,58.59,-26.59,1.0
35.3,17.18,-37.93,1.0
45.66,22.63,2.78,1.0
95.1,46.89,-37.16,1.0
91.96,45.32,-37.16,1.0
7.26,3.54,-11.52,1.0
38.82,19.31,7.45,1.0
41.34,20.49,-7.38,1.0
69.61,34.63,9.1,1.0
49.29,24.42,-29.98,1.0
49.25,24.42,-24.4,1.0
100.61,49.93,-49.67,1.0
26.42,13.1,-36.14,1.0
16.76,8.34,3.76,1.0
50.0,24.91,-36.68,1.0
42.55,21.23,-56.79,1.0
101.81,50.76,-76.59,1.0
50.15,25.0,-36.85,1.0
37.04,18.53,-36.02,1.0
10.87,5.42,-1.0,1.0
38.7,19.37,-29.77,1.0
88.87,44.4,-38.31,1.0
49.11,24.58,-27.21,1.0
38.85,19.49,-29.64,1.0
49.61,24.88,-36.87,1.0
36.55,18.51,-72.07,1.0
37.58,19.04,-66.96,1.0
68.78,34.44,-26.32,1.0
38.75,19.3,7.47,1.0
49.18,24.73,-30.5,1.0
49.06,24.68,-30.19,1.0
97.97,49.03,-18.03,1.0
27.87,14.16,-32.76,1.0
48.04,24.23,-25.54,1.0
105.61,53.77,-109.46,1.0
27.2,14.05,-41.9,1.0
51.08,25.84,-25.11,1.0
91.69,46.28,-37.36,1.0
49.78,25.31,-29.55,1.0
48.98,24.92,-30.35,1.0
38.8,19.84,-30.74,1.0
36.17,18.6,-32.41,1.0
35.46,18.85,-74.31,1.0
49.25,25.18,-32.11,1.0
48.54,24.85,-30.51,1.0
154.33,78.26,-50.58,1.0
36.19,18.7,-32.34,1.0
89.14,45.48,-38.01,1.0
35.34,19.03,-74.26,1.0
48.68,24.99,-30.43,1.0
54.69,28.74,-71.28,1.0
33.04,17.29,-38.48,1.0
28.78,15.06,-32.79,1.0
48.85,25.16,-30.74,1.0
54.5,28.76,-71.52,1.0
49.15,25.32,-30.44,1.0
44.51,22.31,4.98,1.0
109.52,55.41,-10.77,1.0
34.44,18.1,-34.12,1.0
110.9,56.92,-45.59,1.0
64.98,33.81,-47.72,1.0
59.7,30.34,-11.93,1.0
46.58,24.76,-55.99,1.0
59.61,31.31,-54.17,1.0
187.75,95.28,-20.76,1.0
51.0,26.88,-48.7,1.0
106.55,54.29,-22.99,1.0
52.5,27.31,-25.13,1.0
106.54,54.58,-23.31,1.0
35.97,20.48,-72.01,1.0
48.68,26.4,-54.19,1.0
49.24,25.87,-28.0,1.0
40.37,20.19,9.83,1.0
41.05,22.78,-60.03,1.0
139.12,73.17,-78.74,1.0
32.14,17.6,-38.52,1.0
139.75,73.72,-80.82,1.0
40.5,22.85,-64.65,1.0
19.27,9.71,2.52,1.0
49.46,26.03,-24.51,1.0
51.73,27.96,-44.53,1.0
106.29,56.07,-52.71,1.0
40.66,23.29,-68.68,1.0
40.7,23.35,-68.91,1.0
47.9,25.35,-25.09,2.0
49.95,26.96,-39.77,1.0
92.43,48.55,-37.25,1.0
92.95,48.83,-36.96,1.0
60.59,33.24,-58.96,1.0
40.87,23.6,-68.07,1.0
29.45,15.94,-22.53,1.0
92.96,49.13,-39.32,1.0
25.44,14.55,-37.32,1.0
39.37,20.43,-8.01,1.0
32.58,18.23,-37.32,1.0
49.46,26.3,-24.45,1.0
92.68,48.99,-39.4,1.0
36.27,19.83,-30.4,1.0
32.54,18.23,-37.3,1.0
51.93,28.44,-43.9,1.0
92.91,49.17,-38.34,1.0
26.06,14.91,-36.19,1.0
39.45,20.52,-8.04,1.0
51.85,28.52,-44.16,1.0
40.31,23.67,-68.32,1.0
47.73,25.77,-29.96,1.0
60.33,36.09,-112.02,1.0
26.74,14.76,-23.16,1.0
92.7,49.26,-38.76,1.0
92.74,49.3,-38.76,1.0
57.9,33.39,-79.82,1.0
46.53,25.16,-28.25,1.0
39.36,20.57,-8.01,1.0
39.44,20.62,-7.99,1.0
92.58,49.42,-38.57,1.0
47.33,25.61,-26.12,2.0
48.92,26.34,-24.35,1.0
49.28,26.58,-24.34,1.0
49.18,26.55,-24.58,1.0
33.58,17.21,0.77,1.0
31.11,17.91,-37.06,1.0
41.95,24.72,-59.3,1.0
64.52,38.64,-101.22,1.0
60.88,34.54,-59.97,1.0
39.12,20.58,-8.12,1.0
38.74,22.93,-54.22,1.0
47.5,25.89,-26.09,2.0
142.92,79.19,-100.98,1.0
48.47,28.08,-55.62,1.0
48.79,26.56,-24.55,1.0
45.54,25.17,-29.33,1.0
50.26,29.91,-68.37,1.0
37.96,23.42,-65.25,1.0
45.57,25.24,-29.39,1.0
40.44,20.29,9.92,1.0
49.79,28.73,-51.27,1.0
49.84,28.79,-51.25,1.0
73.64,45.61,-125.48,1.0
34.85,22.59,-75.01,1.0
91.32,49.5,-37.73,1.0
63.64,39.07,-101.43,1.0
35.24,18.33,-1.88,1.0
47.02,25.88,-25.67,2.0
57.61,37.39,-123.63,1.0
10.34,6.6,-20.37,1.0
47.85,26.35,-25.81,2.0
48.81,26.75,-24.25,1.0
47.63,26.22,-25.45,2.0
45.99,25.54,-28.09,1.0
11.45,7.16,-19.55,1.0
33.08,19.06,-30.94,1.0
49.31,27.02,-23.86,1.0
48.37,26.59,-24.68,1.0
48.26,28.47,-54.67,1.0
47.52,26.34,-26.23,2.0
19.79,14.08,-57.48,1.0
15.93,8.53,-4.05,1.0
33.71,17.43,0.72,1.0
47.28,26.25,-25.91,2.0
43.33,24.44,-29.31,1.0
27.43,17.16,-43.76,1.0
45.88,25.68,-28.09,1.0
47.3,26.19,-24.52,1.0
27.5,17.23,-43.83,1.0
47.56,26.45,-26.04,2.0
51.09,29.33,-41.38,1.0
59.79,35.18,-60.69,1.0
47.54,26.33,-24.26,1.0
48.38,26.81,-24.66,1.0
45.93,25.8,-28.16,1.0
47.19,26.36,-26.7,2.0
50.69,29.49,-45.5,1.0
47.22,26.33,-25.81,2.0
104.82,56.11,-23.57,1.0
96.63,52.92,-38.48,1.0
33.68,17.5,0.42,1.0
47.47,28.79,-57.17,1.0
4.04,2.29,-2.65,1.0
31.77,17.12,-7.96,1.0
33.71,17.5,0.71,1.0
48.82,27.26,-24.99,1.0
48.45,27.08,-25.09,1.0
48.14,26.89,-24.58,1.0
46.01,26.67,-36.47,1.0
11.74,8.74,-35.32,1.0
32.61,19.33,-31.51,1.0
48.68,27.21,-24.83,1.0
48.17,26.94,-24.71,1.0
28.63,20.92,-79.97,1.0
47.48,26.69,-25.6,2.0
47.24,26.59,-25.86,2.0
46.77,26.35,-25.81,2.0
47.41,26.57,-24.26,1.0
45.13,28.07,-59.42,1.0
48.32,27.1,-24.69,1.0
101.68,55.97,-37.87,2.0
45.97,26.8,-36.51,1.0
48.62,27.2,-23.67,1.0
31.52,19.61,-40.85,1.0
48.29,29.27,-52.62,1.0
48.32,29.26,-52.6,1.0
27.25,14.32,-1.3,1.0
153.96,86.86,-83.64,1.0
48.24,29.4,-54.46,1.0
47.03,26.6,-26.29,2.0
48.47,27.25,-24.69,1.0
46.43,26.42,-27.51,1.0
30.8,18.93,-36.07,1.0
48.35,27.24,-25.08,1.0
28.27,21.21,-81.57,1.0
47.77,26.92,-23.95,1.0
40.11,23.37,-29.43,1.0
27.96,21.29,-81.43,1.0
45.13,28.49,-59.29,1.0
54.86,35.26,-79.61,1.0
30.16,18.79,-36.15,1.0
8.27,4.73,-4.85,1.0
27.16,14.33,-1.34,1.0
34.06,24.25,-76.72,1.0
27.96,21.78,-84.72,1.0
47.8,27.11,-24.59,1.0
47.06,26.82,-25.45,2.0
27.79,21.45,-81.19,1.0
48.01,27.3,-25.06,1.0
81.22,46.89,-50.61,1.0
47.52,29.93,-58.76,1.0
8.05,5.82,-18.42,1.0
24.73,16.65,-42.59,1.0
37.56,19.73,-0.3,1.0
44.97,28.74,-59.19,1.0
47.21,29.96,-59.02,1.0
26.42,16.07,-25.04,1.0
48.87,27.82,-24.38,1.0
48.32,27.59,-24.93,1.0
12.98,8.54,-19.14,1.0
48.12,27.49,-24.4,1.0
28.47,22.31,-81.5,1.0
29.95,19.7,-43.92,1.0
31.75,19.41,-29.93,1.0
97.5,54.79,-38.8,2.0
150.85,87.83,-93.34,1.0
130.19,76.04,-82.48,1.0
131.01,76.45,-82.14,1.0
17.28,8.78,3.46,1.0
24.2,12.77,-0.36,1.0
25.05,20.87,-83.47,1.0
31.61,19.37,-29.69,1.0
25.77,21.37,-83.69,1.0
98.26,55.47,-39.28,2.0
102.85,59.98,-61.56,1.0
22.94,16.16,-43.12,1.0
31.17,19.42,-31.72,1.0
49.53,30.4,-45.4,1.0
27.31,22.32,-83.74,1.0
18.47,17.55,-82.38,1.0
46.66,27.06,-25.6,2.0
47.97,27.61,-24.19,1.0
16.77,8.48,3.82,1.0
98.69,55.75,-38.46,2.0
104.56,61.46,-65.53,1.0
30.94,20.3,-40.97,1.0
49.55,30.57,-45.53,1.0
39.09,23.61,-30.34,1.0
38.68,21.13,-7.19,1.0
53.34,35.09,-70.49,1.0
20.85,15.18,-42.47,1.0
24.59,21.33,-84.29,1.0
38.27,27.24,-70.72,1.0
27.55,15.56,-9.88,1.0
149.35,92.09,-130.49,1.0
38.7,21.21,-7.37,1.0
45.57,31.01,-67.96,1.0
47.88,30.33,-49.42,1.0
26.49,16.75,-26.34,1.0
162.96,93.71,-71.21,1.0
20.38,13.24,-23.58,1.0
18.61,15.51,-54.17,1.0
36.68,19.99,-5.19,1.0
113.3,68.58,-80.88,1.0
129.89,77.68,-81.47,1.0
22.82,21.41,-86.74,1.0
26.53,16.91,-26.33,1.0
12.8,8.85,-18.91,1.0
18.63,15.77,-54.0,1.0
39.3,19.98,8.36,1.0
29.52,20.22,-41.74,1.0
41.77,23.19,-9.01,1.0
59.8,40.55,-80.35,1.0
17.28,8.76,3.92,1.0
30.1,24.75,-79.8,1.0
119.08,72.16,-80.29,1.0
23.37,12.73,-2.72,1.0
52.59,37.01,-81.9,1.0
119.26,67.39,-35.32,1.0
22.52,14.74,-24.57,1.0
30.15,20.41,-38.71,1.0
119.23,67.53,-35.35,1.0
120.26,67.64,-31.57,1.0
102.62,57.28,-22.78,1.0
100.62,58.88,-45.26,1.0
48.94,32.46,-55.5,1.0
103.6,59.27,-34.15,1.0
50.55,29.85,-24.66,1.0
106.93,60.62,-30.24,1.0
16.89,8.58,3.79,1.0
28.11,16.02,-8.53,1.0
97.09,56.25,-37.53,2.0
30.14,20.12,-33.79,1.0
30.8,28.04,-97.56,1.0
107.02,60.78,-30.31,1.0
47.35,28.26,-24.78,1.0
52.46,37.84,-81.92,1.0
38.81,29.31,-71.53,1.0
106.96,60.89,-30.37,1.0
99.21,57.6,-37.64,2.0
98.8,57.53,-38.41,2.0
48.93,32.53,-52.06,1.0
100.69,58.46,-37.17,2.0
99.51,58.0,-38.13,2.0
14.51,18.01,-83.49,1.0
61.61,43.08,-81.47,1.0
19.46,24.36,-113.45,1.0
29.4,21.18,-43.82,1.0
29.37,21.19,-43.88,1.0
102.22,57.61,-21.7,1.0
102.28,57.62,-21.65,1.0
65.88,45.15,-78.52,1.0
48.64,28.55,-19.45,1.0
98.09,57.42,-37.51,2.0
98.89,57.89,-37.84,2.0
52.59,38.49,-81.11,1.0
27.56,27.06,-97.1,1.0
99.05,58.04,-37.99,2.0
48.99,33.26,-54.72,1.0
29.42,21.41,-44.25,1.0
98.26,57.59,-37.7,2.0
35.44,28.41,-73.71,1.0
98.28,57.67,-38.09,2.0
29.65,21.53,-44.0,1.0
96.91,56.89,-37.36,2.0
49.82,37.5,-84.06,1.0
97.35,57.23,-38.18,2.0
21.77,17.08,-41.34,1.0
98.49,63.09,-77.32,1.0
24.52,18.91,-43.83,1.0
47.15,28.72,-25.41,1.0
11.86,9.36,-22.68,1.0
98.65,57.84,-36.21,2.0
12.25,9.13,-19.29,1.0
43.8,32.61,-69.05,1.0
26.8,14.62,-1.37,1.0
45.24,32.42,-60.16,1.0
98.63,57.93,-36.11,2.0
42.83,32.27,-69.11,1.0
42.87,32.29,-69.1,1.0
51.68,33.03,-38.73,1.0
40.37,31.38,-72.2,1.0
28.67,21.38,-44.33,1.0
104.72,62.42,-44.57,1.0
120.69,74.02,-66.29,1.0
97.3,57.77,-38.97,2.0
27.97,21.02,-43.92,1.0
28.24,16.5,-9.36,1.0
28.37,16.59,-9.42,1.0
4.02,4.41,-16.63,1.0
49.72,32.79,-43.94,1.0
84.44,55.74,-74.91,1.0
29.32,20.07,-31.24,1.0
98.51,58.32,-38.12,2.0
137.28,79.86,-42.53,1.0
23.37,25.7,-95.95,1.0
3.59,4.0,-15.08,1.0
60.89,39.22,-46.1,1.0
26.73,18.24,-27.52,1.0
113.84,75.42,-98.87,1.0
28.29,28.46,-93.83,1.0
